,name,brand,ratting,price,Công nghệ màn hình,Độ phân giải,Màn hình rộng,Mặt kính cảm ứng,Quay phim,Đèn Flash,Chụp ảnh nâng cao,Thông tin khác,Hệ điều hành,Chipset (hãng SX CPU),Tốc độ CPU,Chip đồ họa (GPU),RAM,Bộ nhớ trong,Thẻ nhớ ngoài,Mạng di động,SIM,Wifi,GPS,Bluetooth,Cổng kết nối/sạc,Jack tai nghe,Kết nối khác,Thiết kế,Chất liệu,Kích thước,Trọng lượng,Dung lượng pin,Loại pin,Công nghệ pin,Tính năng đặc biệt,Videocall,Bộ nhớ còn lại (khả dụng),Bảo mật nâng cao,Ghi âm,Nghe nhạc,Xem phim,Thời điểm ra mắt
83,Samsung Galaxy A32 (6GB|128GB) Chính Hãng,Samsung,4,"
5.690.000 ₫ ",Super AMOLED,20 MP,6.4 inches,,"4K@30fps, 1080p@30/120fps",,,,"Android 11, One UI 3.0",Mediatek Helio G80 (12 nm),Octa-core,Mali-G52 MC2,6 GB,128 GB,Có,,,,,,Type C,,,,,158.9x73.6x8.4 mm,184g,5000 mAh,,Sạc nhanh 15W,,,,,,,,
84,Sony Xperia 1 (6GB|64GB) (Likenew),Điện thoại cũ,4,"
5.390.000 ₫ ",P-OLED,8 MP,"6.5"" - Tần số quét 60 Hz",Kính cường lực Corning Gorilla Glass 6,4K 2160p@30fps / 4K 2160p@24fps / FullHD 1080p@60fps / FullHD 1080p@30fps,Flash-LED,Làm đẹp (Beautify) / Chuyên nghiệp (Pro) / HDR  Toàn cảnh (Panorama) / Chống rung quang học (OIS) / Lấy nét theo pha (PDAF) / Quay Siêu chậm (Super Slow Motion) / Zoom quang học / Tự động lấy nét (AF),"Làm đẹp, nhận diện khuôn mặt",Android 9,Qualcomm Snapdragon 855 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz & 4 nhân 1.8 GHz",Adreno 640,6 GB,64 GB,"MicroSD, hỗ trợ tối đa 512 GB",Hỗ trợ 4G,1 Nano SIM,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,BDS / GPS / GLONASS,apt-X / A2DP / v5.0 / EDR,USB Type-C,Không,NFC,Nguyên khối,Khung kim loại & Mặt lưng kính cường lực,,180 g,3330 mAh,Li-Ion,Tiết kiệm pin / Sạc pin nhanh,,Quay video Full HD,,,,,,
85,Xiaomi Redmi 9C (4GB|128GB) Chính Hãng,Xiaomi,4,"
3.190.000 ₫ ",IPS LCD,5 MP,"6.53"" - Tần số quét 60 Hz",Kính cường lực Corning Gorilla Glass 3,FullHD 1080p@30fpsHD 720p@30fps,Có,,,Android 10,MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.8 GHz,IMG PowerVR GE8320,4 GB,128 GB,"MicroSD, hỗ trợ tối đa 512 GB",Hỗ trợ 4G,2 Nano SIM,,GPSGLONASS,v5.0,Micro USB,3.5 mm,,Nguyên khối,Khung & Mặt lưng nhựa,,,5000 mAh,Li-Ion,Tiết kiệm pin,,,115 GB,Mở khóa bằng vân tay,Có,"AAC, MP3","3GP, MP4",
86,Xiaomi 11 Lite 5G NE (8GB|128GB) Chính Hãng,Xiaomi,4,"
8.390.000 ₫ ",AMOLED DotDisplay,20 MP,"6.55"" - Tần số quét 90 Hz",Kính cường lực Corning Gorilla Glass 5,"4K 2160p@30fps, FullHD 1080p@240fps, FullHD 1080p@30fps, HD 720p@960fps",Flash-LED,,,Android 11,Qualcomm Snapdragon 778G,Up to 2.4GHz,Qualcomm Adreno 642L,8 GB,128 GB,Không,Hỗ trợ 5G,2 Nano SIM,"Wifi 6 802.11 ax/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot","GPS: A-GPS, GLONASS, BDS","5.2, A2DP, LE, aptX HD",USB Type-C,Không,"NFC, OTG",Nguyên khối,,160.53 x 75.73 x 6.81 mm,158 g,4250 mAh,Li-Ion,"Siêu tiết kiệm pin, Sạc pin nhanh 33W, Tiết kiệm pin",,"HDR, Quay video Full HD",Không rõ,,,,,
87,OPPO A55 (4GB|64GB) Chính Hãng,OPPO,4,"
4.590.000 ₫ ",IPS LCD,16 MP,"6.5"" - Tần số quét 60 Hz",Kính cường lực NEG T2X-1,FullHD 1080p@30fps,Flash-LED,,,Android 11,MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.8 GHz,IMG PowerVR GE8320,4 GB,64 GB,MicroSD,Hỗ trợ 4G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot","A-GPS, GLONASS, GALILEO, BDS",v5.0,USB Type-C,USB Type-C,,Nguyên khối,,163.6 x 75.7 x 8.4 mm,193 g,5000 mAh,Li-Ion,"Siêu tiết kiệm pin, Sạc pin nhanh 18W, Tiết kiệm pin",,Quay video Full HD,Không rõ,Mở khoá vân tay cạnh viền,Có,Có,Có,
88,Samsung Galaxy Z Fold3 5G (12GB|256GB) Chính Hãng,Samsung,4,"
39.990.000 ₫ ",Dynamic AMOLED 2X,10 MP & 4 MP,"Chính 7.6"" & Phụ 6.2""",Kính cường lực Corning Gorilla Glass Victus,"HD 720p@960fps, 4K 2160p@60fps",Có,"Quay Siêu chậm (Super Slow Motion), Lấy nét theo pha (PDAF), Camera Ban đêm (Night Mode) Quay chậm (Slow Motion) Xóa phông, Zoom quang học, Chạm lấy nét, Toàn cảnh (Panorama), Chống rung quang học (OIS), Tự động lấy nét (AF), Nhận diện khuôn mặt, HDR",,Android 11,Qualcomm Snapdragon 888,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz & 4 nhân 1.8 GHz",Adreno 660,12 GB,256 GB,,Hỗ trợ 5G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",,"5.1, A2DP, LE, aptX HD","3.1, Type-C 1.0",,,,,,,4400 mAh,Li-Ion,"Sạc pin nhanh , Sạc không dây",,"Xóa phông, Video 4K, Nhận diện khuôn mặt,...",223 GB,,,,,
89,Samsung Galaxy Z Fold3 5G (12GB|512GB) Chính Hãng,Samsung,4,"
41.990.000 ₫ ",Dynamic AMOLED 2X,10 MP & 4 MP,"Chính 7.6"" & Phụ 6.2"" - Tần số quét 120 Hz",Kính cường lực Corning Gorilla Glass Victus,"4K 2160p@60fps, FullHD 1080p@240fps, FullHD 1080p@30fps, HD 720p@960fps",Có,"Quay Siêu chậm (Super Slow Motion), Lấy nét theo pha (PDAF), Camera Ban đêm (Night Mode) Quay chậm (Slow Motion) Xóa phông, Zoom quang học, Chạm lấy nét, Toàn cảnh (Panorama), Chống rung quang học (OIS), Tự động lấy nét (AF), Nhận diện khuôn mặt, HDR",,Android 11,Snapdragon 888 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz & 4 nhân 1.8 GHz",Adreno 660,12 GB,512 GB,Không,Hỗ trợ 5G,2 Nano SIM,Wi-Fi 802.11 a/b/g/n/ac/ax - Wi-Fi hotspot - Dual-band (2.4 GHz/5 GHz) - Wi-Fi Direct,"GPS: A-GPS, GLONASS, BDS","v5.1, LE, A2DP",Type-C,Không,"NFC, OTG",Nguyên khối,Khung nhôm & Mặt lưng kính cường lực,158.2 x 128.1 x 6.4 mm,271 g,4400 mAh,Li-Ion,"Sạc pin nhanh , Sạc không dây",,"Xóa phông, Video 4K, Nhận diện khuôn mặt,...",Không rõ,,,,,
90,Samsung Galaxy Z Flip3 5G (8GB|128GB) Chính Hãng,Samsung,4,"
23.990.000 ₫ ",Dynamix AMOLED 2X,10 MP,"Chính 6.7"" & Phụ 1.9""",Kính siêu mỏng Ultra Thin Glass (UTG),"4K@30/60fps, 1080p@60/240fps, 720p@960fps, HDR10+",Flash-LED,,,Android 11,Qualcomm SM8350 Snapdragon 888 (5 nm),"1 nhân 2.84 GHz, 3 nhân 2.42 GHz & 4 nhân 1.8 GHz",Adreno 660,8 GB,128 GB,Không,Hỗ trợ 5G,1 Nano SIM & 1 eSIM,"Wi-Fi 802.11 a/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot","GPS: A-GPS, GLONASS, BDS","v5.1, LE, A2DP",Type-C,Không,"NFC, OTG",Nguyên khối,Khung nhôm & Mặt lưng kính cường lực,Dài 166 mm - Ngang 72.2 mm - Dày 6.9 mm,183g,3300 mAh,Li-Ion,"Sạc không dây , Sạc pin nhanh","Hỗ trợ 5G, Kháng nước, kháng bụi, Sạc không dây, Nhận diện khuôn mặt, Bảo mật vân tay","Xóa phông, Video 4K, Nhận diện khuôn mặt,...",110 GB,Mở khoá vân tay cạnh viền,,,,
91,Samsung Galaxy Z Flip3 5G (8GB|256GB) Chính Hãng,Samsung,4,"
25.990.000 ₫ ",Dynamix AMOLED 2X,10MP f2.4,"Màn hình chính 6.7"", Màn hình phụ: 1.9""",Kính siêu mỏng Ultra Thin Glass (UTG),"4K@30/60fps, 1080p@60/240fps, 720p@960fps, HDR10+",Có,"Quay Siêu chậm (Super Slow Motion) Lấy nét theo pha (PDAF) AI Camera Ban đêm (Night Mode) Quay chậm (Slow Motion) - Xóa phông - Chạm lấy nét - Toàn cảnh (Panorama),...",Xóa phông - Quay video 4K Quay video HD Nhận diện khuôn mặt - Làm đẹp - Quay video Full HD - Tự động lấy nét (AF) HDR,Android 11,Snapdragon 888 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz & 4 nhân 1.8 GHz",Adreno 660,8 GB,256 GB,,Hỗ trợ 5G,2 SIM (nano‑SIM và eSIM),Wi-Fi 802.11 a/b/g/n/ac/ax - Wi-Fi hotspot - Dual-band (2.4 GHz/5 GHz) - Wi-Fi Direct,A-GPS - GLONASS - BDS - GALILEO,v5.1 - A2DP. - LE,Type-C,,OTG - NFC,Nguyên khối,Khung nhôm & Mặt lưng kính cường lực,"Khi mở: 167.3 x 73.6 x 7.2mm, Khi gập: 87.4 x 73.6 x 17.3mm",183 g,3300 mAh,3300 mAh,,"Samsung Pay , Âm thanh AKG",,110 GB,Mở khoá vân tay cạnh viền,,WMA - Midi - FLAC -  AMR - OGG - AAC - WAV - MP3,AVI - 3GP - MP4 - WMV - H.264(MPEG4-AVC),11/8/2021
92,Samsung Galaxy A52s (8GB|128GB) Chính Hãng,Samsung,4,"
9.690.000 ₫ ",Super AMOLED,32 MP,6.5 inch,Kính cường lực Corning Gorilla Glass 5,4K 2160p@30fps - FullHD 1080p@30fps - FullHD 1080p@60fps,Có,Góc rộng (Wide) - Góc siêu rộng (Ultrawide) - HDR Lấy nét theo pha (PDAF) - Siêu cận (Macro) - Toàn cảnh (Panorama) - Xóa phông,HDR - Quay video 4K - Quay video Full HD,Android 11,Snapdragon 778G 5G 8 nhân,"1 nhân 2.4 GHz, 3 nhân 2.2 GHz & 4 nhân 1.9 GHz",Adreno 642L,8 GB,128 GB,MicroSD,Hỗ trợ 5G,2 Nano SIM (SIM 2 chung khe thẻ nhớ),Dual-band (2.4 GHz/5 GHz) - Wi-Fi 802.11 a/b/g/n/ac - Wi-Fi Direct - Wi-Fi hotspot,A-GPS - BDS - GALILEO - GLONASS,v5.2 - A2DP - LE,Type-C,3.5 mm,NFC - OTG,Nguyên khối,Nhựa,159.9 x 75.1 x 8.4  mm,189 g,4500 mAh,25 W,Sạc pin nhanh,"Kháng nước, bụi IP67",,,Mở khoá vân tay dưới màn hình,,Có,Có,
93,OPPO A74 (8GB|128GB) Chính Hãng,OPPO,4,"
5.990.000 ₫ ",AMOLED,16 MP,6.43 inch,,"HD 720p@30fps, FullHD 1080p@30fps",,,A.I CameraHDRXóa phôngFlash màn hìnhQuay video HDLàm đẹpQuay video Full HDTự động lấy nét (AF),Android 11,Snapdragon 662 8 nhân,4 nhân 2.0 GHz & 4 nhân 1.8 GHz,Adreno 610,8 GB,128 GB,Có,Hỗ trợ 4G,,Wi-Fi hotspotDual-band (2.4 GHz/5 GHz)Wi-Fi DirectWi-Fi 802.11 a/b/g/n/ac,,,Type-C,3.5 mm,,,,,,5000 mAh,,Sạc pin nhanh,,,,,,,,
94,Samsung Galaxy A52 (8GB|128GB) Chính Hãng,Samsung,4,"
8.390.000 ₫ ",Super AMOLED,32 MP,6.5 inches,,"4K@30fps, 1080p@30/120fps; gyro-EIS",,,,"Android 11, One UI 3.0",Qualcomm SM7125 Snapdragon 720G (8 nm),Octa-core,Adreno 618,8 GB,128 GB,Có,,,,,,,,,,,,,4500 mAh,,,,,,,,,,
95,Xiaomi 11T Pro (12GB|256GB) Chính Hãng,Xiaomi,4,"
13.090.000 ₫ ",AMOLED DotDisplay,16 MP,"6.67"" - Tần số quét 120Hz, Tần số lấy mẫu cảm ứng 480Hz",Kính cường lực Corning Gorilla Glass Victus,4K 2160p@30fps / 4K 2160p@60fps / FullHD 1080p@120fps / HD 720p@30fps / FullHD 1080p@240fps / FullHD 1080p@60fps / 4K 2160p@24fps / FullHD 1080p@30fps,Flash-LED,,,Android 11,Qualcomm Snapdragon 888,Up to 2.84 GHz,Qualcomm Adreno 660,12 GB,256 GB UFS 3.1,Không,Hỗ trợ 5G,2 Nano SIM,"Wifi 6 802.11 ax/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot","GPS: A-GPS, GLONASS, BDS","5.2, A2DP, LE, aptX HD",USB Type-C,Không,"NFC, OTG",Nguyên khối,,164.1 x 76.9 x 8.8 mm,204 g,5000 mAh,Li-Ion,"Siêu tiết kiệm pin, Xiaomi HyperCharge 120W",,"HDR, Quay video Full HD",Không rõ,,,,,
96,Xiaomi Mi Note 10 Lite (8GB|128GB),Xiaomi,4,"
7.690.000 ₫ ",AMOLED,16 MP,6.47 inches,,,,,,Android 10; MIUI 11,Qualcomm SDM730 Snapdragon 730G (8 nm),Octa-core,Adreno 618,8 GB,128 GB,Không,Hỗ trợ 4G,,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","A-GPS, GLONASS, GALILEO, BDS","5.0, A2DP, LE, aptX HD","2.0, Type-C 1.0",,,,,,,5260 mAh,Pin chuẩn Li-Ion,Sạc nhanh 30W,,,,,,,,
97,OPPO Find N Chính hãng,OPPO,4,,AMOLED,32 MP,"Chính 7.1"" & Phụ 5.49"" - Tần số quét 120 Hz & 60 Hz",Kính siêu mỏng Ultra Thin Glass (UTG),4K 2160p@30fps / 4K 2160p@60fps / FullHD 1080p@240fps / FullHD 1080p@30fps / FullHD 1080p@60fps / HD 720p@30fps / HD 720p@480fps / HD 720p@60fps,Flash-LED,Ban đêm (Night Mode) / Chuyên nghiệp (Pro) / Quay chậm (Slow Motion) / Toàn cảnh (Panorama) / Trôi nhanh thời gian (Time Lapse) / Xóa phông,Chụp đêm / Quay video Full HD / Toàn cảnh (Panorama) / Trôi nhanh thời gian (Time Lapse),Android 11,Qualcomm Snapdragon 888 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz & 4 nhân 1.8 GHz",Adreno 660,8 GB,256 GB,Không,Hỗ trợ 5G,2 Nano SIM,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi Direct, Wi-Fi 802.11 a/b/g/n/ac","GPS: A-GPS, GLONASS, BDS",v5.2 - A2DP. - LE,USB Type-C,USB Type-C,"NFC, OTG",Nguyên khối,,132.6 x 73.0 x 15.9 mm,275g,4500 mAh,Li-Po,Sạc không dây / Sạc pin nhanh 33W,,Quay video Full HD,,,,,,
98,Bphone A60,Bphone,4,,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,"HD 720p@30fps, FullHD 1080p@30fps",Có,Chạm lấy nét / HDR / Làm đẹp / Lấy nét theo pha (PDAF) / Nhận diện khuôn mặt / Siêu cận (Macro) / Toàn cảnh (Panorama) / Tự động lấy nét (AF) / Xóa phông / Zoom kỹ thuật số,Đang cập nhật,BOS – Android 11,Đang cập nhật,Đang cập nhật,Đang cập nhật,6 GB,128 GB,MicroSD,4G,2 SIM (Nano-SIM),Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,"A-GPS, GLONASS",v5.0,Đang cập nhật,Đang cập nhật,Đang cập nhật,Nguyên khối,Khung & Mặt lưng nhựa,Đang cập nhật,Đang cập nhật,,,,,Đang cập nhật,,,,,,
99,Bphone A50,Bphone,4,,,Đang cập nhật,,,"HD 720p@30fps, FullHD 1080p@30fps",Có,Chạm lấy nét / HDR / Làm đẹp / Lấy nét theo pha (PDAF) / Nhận diện khuôn mặt / Siêu cận (Macro) / Toàn cảnh (Panorama) / Tự động lấy nét (AF) / Xóa phông / Zoom kỹ thuật số,Đang cập nhật,BOS – Android 11,Đang cập nhật,Đang cập nhật,Đang cập nhật,6 GB,128 GB,MicroSD,4G,2 SIM (Nano-SIM),Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,"A-GPS, GLONASS",v5.0,Đang cập nhật,Đang cập nhật,Đang cập nhật,Nguyên khối,Khung & Mặt lưng nhựa,Đang cập nhật,Đang cập nhật,5000 mAh,Li-Ion,Tiết kiệm pin / Sạc pin nhanh,,Đang cập nhật,,,,,,
100,OPPO A16K (3GB|32GB) Chính Hãng,OPPO,4,"
3.290.000 ₫ ",IPS LCD,5 MP,"6.52"" - Tần số quét 60 Hz",Kính cường lực Corning Gorilla Glass 3,FullHD 1080p@30fps / HD 720p@30fps,Flash-LED,Bộ lọc màu / HDR / Làm đẹp / Toàn cảnh (Panorama) / Tự động lấy nét (AF) / Xóa phông,Làm đẹp / Toàn cảnh (Panorama),Android 11,MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.8 GHz,IMG PowerVR GE8320,3 GB,32 GB,"MicroSD, hỗ trợ tối đa 1 TB",Hỗ trợ 4G,2 Nano SIM,"Wi-Fi 802.11 a / b / g / n / ac, băng tần kép, Wi-Fi Direct","A-GPS, GLONASS, GALILEO, BDS, QZSS","5.0, A2DP, LE, aptX","USB Type-C 2.0, USB On-The-Go",3.5 mm,OTG,Nguyên khối,Khung nhựa & Mặt lưng thuỷ tinh hữu cơ,164 x 75.4 x 7.85 mm,175 g,4230 mAh,Li-Po,Bộ sạc nhanh 10W,"Vân tay (gắn bên), Gia tốc kế, Độ gần, La bàn",,,,,,,
101,Samsung Galaxy A22 (6GB|128GB) Chính Hãng,Samsung,4,"
5.090.000 ₫ ",Super AMOLED,13.0,"6.5""",Mặt kính cong 3D,FullHD 1080p@30fps,Có,"Zoom quang học (Camera kép), Chụp ảnh xóa phông, A.I Camera, Tự động lấy nét, Chạm lấy nét, Nhận diện khuôn mặt, HDR, Panorama, Beautify",HDR / Làm đẹp / Nhãn dán (AR Stickers) / Nhận diện khuôn mặt / Quay video Full HD / Toàn cảnh (Panorama) / Tự động lấy nét (AF) / Xóa phông,Android 10,Snapdragon 450 8 nhân,8 nhân 1.8 GHz,Adreno 506,6 GB,128 GB,"MicroSD, hỗ trợ tối đa 1 TB",Hỗ trợ 4G,Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot","GPS, Glonass, Beidou, Galileo",v5.0,USB Type-C,3.5 mm,OTG,Nguyên khối,,159.3 x 73.6 x 8.4 mm,186 g,5000 mAh,Li-Po,"Siêu tiết kiệm pin, Sạc pin nhanh, Tiết kiệm pin",,Quay video Full HD,,,,,,
102,Samsung Galaxy A12 (4GB|128GB) Chính Hãng,Samsung,4,"
3.590.000 ₫ ",TFT,8 MP,6.5 inches,,1080p@30fps,,,,Android 10,MediaTek Helio G35 8 nhân,Octa-core,,4 GB,128 GB,Có,Hỗ trợ 4G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n, Wi-Fi hotspot",,,USB Type-C,3.5 mm,,,,,,5000 mAh,,,,,,,,,,
103,Samsung Galaxy A32 (6GB|128GB) Chính Hãng,Samsung,4,"
5.690.000 ₫ ",Super AMOLED,20 MP,6.4 inches,,"4K@30fps, 1080p@30/120fps",,,,"Android 11, One UI 3.0",Mediatek Helio G80 (12 nm),Octa-core,Mali-G52 MC2,6 GB,128 GB,Có,,,,,,Type C,,,,,158.9x73.6x8.4 mm,184g,5000 mAh,,Sạc nhanh 15W,,,,,,,,
104,Sony Xperia 1 (6GB|64GB) (Likenew),Điện thoại cũ,4,"
5.390.000 ₫ ",P-OLED,8 MP,"6.5"" - Tần số quét 60 Hz",Kính cường lực Corning Gorilla Glass 6,4K 2160p@30fps / 4K 2160p@24fps / FullHD 1080p@60fps / FullHD 1080p@30fps,Flash-LED,Làm đẹp (Beautify) / Chuyên nghiệp (Pro) / HDR  Toàn cảnh (Panorama) / Chống rung quang học (OIS) / Lấy nét theo pha (PDAF) / Quay Siêu chậm (Super Slow Motion) / Zoom quang học / Tự động lấy nét (AF),"Làm đẹp, nhận diện khuôn mặt",Android 9,Qualcomm Snapdragon 855 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz & 4 nhân 1.8 GHz",Adreno 640,6 GB,64 GB,"MicroSD, hỗ trợ tối đa 512 GB",Hỗ trợ 4G,1 Nano SIM,Wi-Fi 802.11 a/b/g/n/ac / Dual-band (2.4 GHz/5 GHz) / DLNA / Wi-Fi Direct / Wi-Fi hotspot,BDS / GPS / GLONASS,apt-X / A2DP / v5.0 / EDR,USB Type-C,Không,NFC,Nguyên khối,Khung kim loại & Mặt lưng kính cường lực,,180 g,3330 mAh,Li-Ion,Tiết kiệm pin / Sạc pin nhanh,,Quay video Full HD,,,,,,
105,Xiaomi Redmi 9C (4GB|128GB) Chính Hãng,Xiaomi,4,"
3.190.000 ₫ ",IPS LCD,5 MP,"6.53"" - Tần số quét 60 Hz",Kính cường lực Corning Gorilla Glass 3,FullHD 1080p@30fpsHD 720p@30fps,Có,,,Android 10,MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.8 GHz,IMG PowerVR GE8320,4 GB,128 GB,"MicroSD, hỗ trợ tối đa 512 GB",Hỗ trợ 4G,2 Nano SIM,,GPSGLONASS,v5.0,Micro USB,3.5 mm,,Nguyên khối,Khung & Mặt lưng nhựa,,,5000 mAh,Li-Ion,Tiết kiệm pin,,,115 GB,Mở khóa bằng vân tay,Có,"AAC, MP3","3GP, MP4",
106,Xiaomi 11 Lite 5G NE (8GB|128GB) Chính Hãng,Xiaomi,4,"
8.390.000 ₫ ",AMOLED DotDisplay,20 MP,"6.55"" - Tần số quét 90 Hz",Kính cường lực Corning Gorilla Glass 5,"4K 2160p@30fps, FullHD 1080p@240fps, FullHD 1080p@30fps, HD 720p@960fps",Flash-LED,,,Android 11,Qualcomm Snapdragon 778G,Up to 2.4GHz,Qualcomm Adreno 642L,8 GB,128 GB,Không,Hỗ trợ 5G,2 Nano SIM,"Wifi 6 802.11 ax/b/g/n/ac/6e, dual-band, Wi-Fi Direct, hotspot","GPS: A-GPS, GLONASS, BDS","5.2, A2DP, LE, aptX HD",USB Type-C,Không,"NFC, OTG",Nguyên khối,,160.53 x 75.73 x 6.81 mm,158 g,4250 mAh,Li-Ion,"Siêu tiết kiệm pin, Sạc pin nhanh 33W, Tiết kiệm pin",,"HDR, Quay video Full HD",Không rõ,,,,,
107,OPPO A55 (4GB|64GB) Chính Hãng,OPPO,4,"
4.590.000 ₫ ",IPS LCD,16 MP,"6.5"" - Tần số quét 60 Hz",Kính cường lực NEG T2X-1,FullHD 1080p@30fps,Flash-LED,,,Android 11,MediaTek Helio G35 8 nhân,4 nhân 2.3 GHz & 4 nhân 1.8 GHz,IMG PowerVR GE8320,4 GB,64 GB,MicroSD,Hỗ trợ 4G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot","A-GPS, GLONASS, GALILEO, BDS",v5.0,USB Type-C,USB Type-C,,Nguyên khối,,163.6 x 75.7 x 8.4 mm,193 g,5000 mAh,Li-Ion,"Siêu tiết kiệm pin, Sạc pin nhanh 18W, Tiết kiệm pin",,Quay video Full HD,Không rõ,Mở khoá vân tay cạnh viền,Có,Có,Có,
108,Samsung Galaxy Z Fold3 5G (12GB|256GB) Chính Hãng,Samsung,4,"
39.990.000 ₫ ",Dynamic AMOLED 2X,10 MP & 4 MP,"Chính 7.6"" & Phụ 6.2""",Kính cường lực Corning Gorilla Glass Victus,"HD 720p@960fps, 4K 2160p@60fps",Có,"Quay Siêu chậm (Super Slow Motion), Lấy nét theo pha (PDAF), Camera Ban đêm (Night Mode) Quay chậm (Slow Motion) Xóa phông, Zoom quang học, Chạm lấy nét, Toàn cảnh (Panorama), Chống rung quang học (OIS), Tự động lấy nét (AF), Nhận diện khuôn mặt, HDR",,Android 11,Qualcomm Snapdragon 888,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz & 4 nhân 1.8 GHz",Adreno 660,12 GB,256 GB,,Hỗ trợ 5G,2 Nano SIM,"Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot",,"5.1, A2DP, LE, aptX HD","3.1, Type-C 1.0",,,,,,,4400 mAh,Li-Ion,"Sạc pin nhanh , Sạc không dây",,"Xóa phông, Video 4K, Nhận diện khuôn mặt,...",223 GB,,,,,
109,Samsung Galaxy Z Fold3 5G (12GB|512GB) Chính Hãng,Samsung,4,"
41.990.000 ₫ ",Dynamic AMOLED 2X,10 MP & 4 MP,"Chính 7.6"" & Phụ 6.2"" - Tần số quét 120 Hz",Kính cường lực Corning Gorilla Glass Victus,"4K 2160p@60fps, FullHD 1080p@240fps, FullHD 1080p@30fps, HD 720p@960fps",Có,"Quay Siêu chậm (Super Slow Motion), Lấy nét theo pha (PDAF), Camera Ban đêm (Night Mode) Quay chậm (Slow Motion) Xóa phông, Zoom quang học, Chạm lấy nét, Toàn cảnh (Panorama), Chống rung quang học (OIS), Tự động lấy nét (AF), Nhận diện khuôn mặt, HDR",,Android 11,Snapdragon 888 8 nhân,"1 nhân 2.84 GHz, 3 nhân 2.42 GHz & 4 nhân 1.8 GHz",Adreno 660,12 GB,512 GB,Không,Hỗ trợ 5G,2 Nano SIM,Wi-Fi 802.11 a/b/g/n/ac/ax - Wi-Fi hotspot - Dual-band (2.4 GHz/5 GHz) - Wi-Fi Direct,"GPS: A-GPS, GLONASS, BDS","v5.1, LE, A2DP",Type-C,Không,"NFC, OTG",Nguyên khối,Khung nhôm & Mặt lưng kính cường lực,158.2 x 128.1 x 6.4 mm,271 g,4400 mAh,Li-Ion,"Sạc pin nhanh , Sạc không dây",,"Xóa phông, Video 4K, Nhận diện khuôn mặt,...",Không rõ,,,,,
